StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Coder_ID,Post_ID,Attribution_Presence,Attribution_Number,Sender_Relevance_1,Evaluation_1,PresenceIndividual_1,SpecificIndividual_1,PresenceCollective_1,SpecificCollective_1,PresenceSystems_1,PresenceNetwork_1,Economy_1,SocialPolicies_1,PoliticsHumanRight_1,ExternalRelations_1
2025-05-08 16:23:56,2025-05-08 16:24:03,IP Address,80.114.165.142,100,7,True,2025-05-08 16:24:04,R_2dSiJlZsGBbGQTb,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,69M,No,,,,,,,,,,,,,
2025-05-08 16:24:24,2025-05-08 16:25:14,IP Address,80.114.165.142,100,49,True,2025-05-08 16:25:14,R_82ITMFbvnK5qnbJ,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,70M,Yes,First,Yes,Positively,No,,Yes,"Other Collectives (e.g. Other Countries, Other Political Groups, NGOs, Public Enterprises, International Governing Institutions)",,,Yes,,,
2025-05-08 16:25:20,2025-05-08 16:25:28,IP Address,80.114.165.142,100,7,True,2025-05-08 16:25:28,R_2BhwfSz4PC2Kud6,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,71M,No,,,,,,,,,,,,,
2025-05-08 16:25:38,2025-05-08 16:25:47,IP Address,80.114.165.142,100,8,True,2025-05-08 16:25:47,R_88M0tXAq30cMnxT,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,72M,No,,,,,,,,,,,,,
2025-05-08 16:25:59,2025-05-08 16:26:13,IP Address,80.114.165.142,100,14,True,2025-05-08 16:26:14,R_2ysFkbZHgOdqucf,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,73M,No,,,,,,,,,,,,,
2025-05-08 16:26:22,2025-05-08 16:26:34,IP Address,80.114.165.142,100,11,True,2025-05-08 16:26:34,R_2GDeDGnrtfPrnGF,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,74M,Yes,First,No,,,,,,,,,,,
2025-05-08 16:26:40,2025-05-08 16:27:21,IP Address,80.114.165.142,100,40,True,2025-05-08 16:27:21,R_2g7ai2jMteAXpuM,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,75M,No,,,,,,,,,,,,,
2025-05-08 16:27:54,2025-05-08 16:29:24,IP Address,80.114.165.142,100,90,True,2025-05-08 16:29:25,R_8mX3pYzuCU8pqJb,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,76M,Yes,First,Yes,Ambiguously,,,,,,,,,,
2025-05-08 16:29:30,2025-05-08 16:30:14,IP Address,80.114.165.142,100,43,True,2025-05-08 16:30:14,R_2azC7zuHI4aHoLW,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,77M,Yes,First,Yes,Positively,Yes,Donald Trump,,,,,No,No,Yes,
2025-05-08 16:31:35,2025-05-08 16:31:44,IP Address,80.114.165.142,100,8,True,2025-05-08 16:31:45,R_81pIBlpZPFvcAvD,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,78M,No,,,,,,,,,,,,,
2025-05-08 16:31:52,2025-05-08 16:32:08,IP Address,80.114.165.142,100,16,True,2025-05-08 16:32:09,R_2tvgq7M7q5T2K8F,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,79M,No,,,,,,,,,,,,,
2025-05-08 16:32:25,2025-05-08 16:33:12,IP Address,80.114.165.142,100,46,True,2025-05-08 16:33:12,R_8EqXkjrHk3fwugF,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,80M,No,,,,,,,,,,,,,
2025-05-08 16:34:07,2025-05-08 16:34:37,IP Address,80.114.165.142,100,29,True,2025-05-08 16:34:37,R_2PNAOgNzsUNOtBb,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,81M,Yes,First,Yes,Positively,Yes,Donald Trump,,,,,Yes,,,
2025-05-08 16:34:43,2025-05-08 16:34:51,IP Address,80.114.165.142,100,8,True,2025-05-08 16:34:52,R_2z8e43C6BDYflyJ,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,82M,No,,,,,,,,,,,,,
2025-05-08 16:35:42,2025-05-08 16:38:08,IP Address,80.114.165.142,100,145,True,2025-05-08 16:38:08,R_8LHCVzbivRZKVln,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,84M,No,,,,,,,,,,,,,
2025-05-08 16:38:22,2025-05-08 16:38:28,IP Address,80.114.165.142,100,5,True,2025-05-08 16:38:28,R_8ERrdH5MAdE78KT,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,85M,No,,,,,,,,,,,,,
2025-05-08 16:38:45,2025-05-08 16:38:51,IP Address,80.114.165.142,100,6,True,2025-05-08 16:38:51,R_2V30tbmWUEdpGIC,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,86M,No,,,,,,,,,,,,,
2025-05-08 16:38:56,2025-05-08 16:39:22,IP Address,80.114.165.142,100,25,True,2025-05-08 16:39:22,R_8fcX7PEyPDWlMYb,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,87M,Yes,First,No,,,,,,,,,,,
2025-05-08 16:39:29,2025-05-08 16:39:37,IP Address,80.114.165.142,100,7,True,2025-05-08 16:39:37,R_8f3HdInj0v2BkLa,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,88M,No,,,,,,,,,,,,,
2025-05-08 16:39:59,2025-05-08 16:40:48,IP Address,80.114.165.142,100,49,True,2025-05-08 16:40:49,R_8E005NxkUZ5PLuA,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,89M,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,No,Yes,
2025-05-08 16:40:59,2025-05-08 16:42:13,IP Address,80.114.165.142,100,74,True,2025-05-08 16:42:14,R_8bJdvduSN2EQJOo,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,90M,No,,,,,,,,,,,,,
2025-05-08 16:42:25,2025-05-08 16:42:34,IP Address,80.114.165.142,100,8,True,2025-05-08 16:42:34,R_2dB32YFb5ZH2W9r,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,91M,No,,,,,,,,,,,,,
2025-05-08 16:42:42,2025-05-08 16:42:53,IP Address,80.114.165.142,100,10,True,2025-05-08 16:42:53,R_2HU3F5I0850Em8F,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,92M,No,,,,,,,,,,,,,
2025-05-08 16:43:01,2025-05-08 16:43:08,IP Address,80.114.165.142,100,7,True,2025-05-08 16:43:09,R_2juMDwKaaRfkjs0,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,93M,No,,,,,,,,,,,,,
2025-05-08 16:43:55,2025-05-08 16:44:48,IP Address,80.114.165.142,100,52,True,2025-05-08 16:44:49,R_2PBNPzZVwVXbIys,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,95M,Yes,First,Yes,Ambiguously,,,,,,,,,,
2025-05-08 16:44:57,2025-05-08 16:45:37,IP Address,80.114.165.142,100,39,True,2025-05-08 16:45:37,R_8Kq4teTFaRJvF5p,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,149M,No,,,,,,,,,,,,,
2025-05-08 16:45:44,2025-05-08 16:45:50,IP Address,80.114.165.142,100,5,True,2025-05-08 16:45:50,R_22QgUNIkOkqhr42,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,151M,No,,,,,,,,,,,,,
2025-05-08 16:45:57,2025-05-08 16:46:06,IP Address,80.114.165.142,100,8,True,2025-05-08 16:46:07,R_8IZ8fxGFCBAMOk0,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,153M,No,,,,,,,,,,,,,
2025-05-08 16:46:49,2025-05-08 16:46:58,IP Address,80.114.165.142,100,8,True,2025-05-08 16:46:58,R_2e7wz9cKpvyrmPT,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,164M,No,,,,,,,,,,,,,
2025-05-08 18:39:00,2025-05-08 18:40:25,IP Address,89.98.163.147,100,85,True,2025-05-08 18:40:26,R_283nYb296dwe6TT,,,,,52.3672,4.918,anonymous,EN,Ada Shi,131A,No,,,,,,,,,,,,,
2025-05-08 18:40:27,2025-05-08 18:42:25,IP Address,89.98.163.147,100,118,True,2025-05-08 18:42:26,R_8UVkikG9E0i7pas,,,,,52.3672,4.918,anonymous,EN,Ada Shi,132A,No,,,,,,,,,,,,,
2025-05-08 18:42:27,2025-05-08 18:42:52,IP Address,89.98.163.147,100,25,True,2025-05-08 18:42:53,R_2PBPiPU87sJWKTH,,,,,52.3672,4.918,anonymous,EN,Ada Shi,133A,No,,,,,,,,,,,,,
2025-05-08 18:42:54,2025-05-08 18:43:14,IP Address,89.98.163.147,100,19,True,2025-05-08 18:43:14,R_8Ebb2IyBQ4hUbF3,,,,,52.3672,4.918,anonymous,EN,Ada Shi,134A,No,,,,,,,,,,,,,
2025-05-08 18:43:15,2025-05-08 18:43:48,IP Address,89.98.163.147,100,33,True,2025-05-08 18:43:49,R_8K8zzE4HzfqNHyK,,,,,52.3672,4.918,anonymous,EN,Ada Shi,135A,No,,,,,,,,,,,,,
2025-05-08 18:43:50,2025-05-08 18:44:27,IP Address,89.98.163.147,100,37,True,2025-05-08 18:44:27,R_8CWAcuAaIlP4rr7,,,,,52.3672,4.918,anonymous,EN,Ada Shi,136A,No,,,,,,,,,,,,,
2025-05-08 18:44:29,2025-05-08 18:44:59,IP Address,89.98.163.147,100,30,True,2025-05-08 18:44:59,R_2PBzBofGEE0Owrn,,,,,52.3672,4.918,anonymous,EN,Ada Shi,137A,No,,,,,,,,,,,,,
2025-05-08 18:45:00,2025-05-08 18:45:30,IP Address,89.98.163.147,100,30,True,2025-05-08 18:45:31,R_2dsWFYBLx6F6b4Q,,,,,52.3672,4.918,anonymous,EN,Ada Shi,138A,No,,,,,,,,,,,,,
2025-05-08 18:45:38,2025-05-08 18:46:04,IP Address,89.98.163.147,100,25,True,2025-05-08 18:46:04,R_27g11yRP0PbPu08,,,,,52.3672,4.918,anonymous,EN,Ada Shi,139A,No,,,,,,,,,,,,,
2025-05-08 18:46:06,2025-05-08 18:46:20,IP Address,89.98.163.147,100,14,True,2025-05-08 18:46:21,R_2dzljHGHlUZkNZn,,,,,52.3672,4.918,anonymous,EN,Ada Shi,140A,No,,,,,,,,,,,,,
2025-05-08 18:46:22,2025-05-08 18:46:38,IP Address,89.98.163.147,100,15,True,2025-05-08 18:46:38,R_8imqDJiWTB58EzY,,,,,52.3672,4.918,anonymous,EN,Ada Shi,141A,No,,,,,,,,,,,,,
2025-05-08 18:46:39,2025-05-08 18:46:51,IP Address,89.98.163.147,100,11,True,2025-05-08 18:46:51,R_2q7LH2NXmfYpLuj,,,,,52.3672,4.918,anonymous,EN,Ada Shi,142A,No,,,,,,,,,,,,,
2025-05-08 18:46:52,2025-05-08 18:47:02,IP Address,89.98.163.147,100,9,True,2025-05-08 18:47:02,R_2RmKxBArxmiG0Ip,,,,,52.3672,4.918,anonymous,EN,Ada Shi,143A,No,,,,,,,,,,,,,
2025-05-08 18:47:03,2025-05-08 18:47:25,IP Address,89.98.163.147,100,21,True,2025-05-08 18:47:25,R_2mVsSG5cqkgJAPf,,,,,52.3672,4.918,anonymous,EN,Ada Shi,144A,No,,,,,,,,,,,,,
2025-05-08 18:47:26,2025-05-08 18:48:58,IP Address,89.98.163.147,100,91,True,2025-05-08 18:48:58,R_2FEW36nblE6yvVT,,,,,52.3672,4.918,anonymous,EN,Ada Shi,145A,Yes,First,Yes,Ambiguously,,,,,,,,,,
2025-05-08 18:49:00,2025-05-08 18:49:22,IP Address,89.98.163.147,100,21,True,2025-05-08 18:49:22,R_8kI25mPy4mHEe4y,,,,,52.3672,4.918,anonymous,EN,Ada Shi,146A,No,,,,,,,,,,,,,
2025-05-08 18:49:23,2025-05-08 18:50:48,IP Address,89.98.163.147,100,84,True,2025-05-08 18:50:48,R_82zv7PrXviFqi5v,,,,,52.3672,4.918,anonymous,EN,Ada Shi,147A,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,No,Yes,
2025-05-08 18:50:49,2025-05-08 18:51:03,IP Address,89.98.163.147,100,13,True,2025-05-08 18:51:03,R_8InFeNxqy2uAndS,,,,,52.3672,4.918,anonymous,EN,Ada Shi,148A,No,,,,,,,,,,,,,
2025-05-08 18:51:04,2025-05-08 18:51:25,IP Address,89.98.163.147,100,20,True,2025-05-08 18:51:25,R_2f0A45sKWB9d6M8,,,,,52.3672,4.918,anonymous,EN,Ada Shi,149A,No,,,,,,,,,,,,,
2025-05-08 18:51:25,2025-05-08 18:51:43,IP Address,89.98.163.147,100,17,True,2025-05-08 18:51:43,R_8LinTn1c3s5wuLb,,,,,52.3672,4.918,anonymous,EN,Ada Shi,150A,No,,,,,,,,,,,,,
2025-05-08 18:51:44,2025-05-08 18:52:01,IP Address,89.98.163.147,100,17,True,2025-05-08 18:52:02,R_2YJvrJneSdz5imd,,,,,52.3672,4.918,anonymous,EN,Ada Shi,151A,No,,,,,,,,,,,,,
2025-05-08 18:52:02,2025-05-08 18:52:18,IP Address,89.98.163.147,100,15,True,2025-05-08 18:52:18,R_8dLDPNYtQvBQtgZ,,,,,52.3672,4.918,anonymous,EN,Ada Shi,152A,No,,,,,,,,,,,,,
2025-05-08 18:52:19,2025-05-08 18:52:33,IP Address,89.98.163.147,100,14,True,2025-05-08 18:52:33,R_2Yup8D0KWYfcKkI,,,,,52.3672,4.918,anonymous,EN,Ada Shi,153A,No,,,,,,,,,,,,,
2025-05-08 18:52:35,2025-05-08 18:56:56,IP Address,89.98.163.147,100,261,True,2025-05-08 18:56:56,R_2TQXY6Td4cpFhJR,,,,,52.3672,4.918,anonymous,EN,Ada Shi,154A,Yes,First,Yes,Negatively,No,,Yes,"Other Collectives (e.g. Other Countries, Other Political Groups, NGOs, Public Enterprises, International Governing Institutions)",,,No,No,Yes,
2025-05-08 18:56:58,2025-05-08 18:57:15,IP Address,89.98.163.147,100,17,True,2025-05-08 18:57:15,R_8VlqmUgr3QoUH3b,,,,,52.3672,4.918,anonymous,EN,Ada Shi,155A,No,,,,,,,,,,,,,
2025-05-08 18:57:16,2025-05-08 18:57:34,IP Address,89.98.163.147,100,17,True,2025-05-08 18:57:34,R_8OYImmIUqNETmUY,,,,,52.3672,4.918,anonymous,EN,Ada Shi,156A,No,,,,,,,,,,,,,
2025-05-08 18:57:35,2025-05-08 18:58:27,IP Address,89.98.163.147,100,52,True,2025-05-08 18:58:27,R_21jMAdsmdXbcTtG,,,,,52.3672,4.918,anonymous,EN,Ada Shi,157A,Yes,First,Yes,Positively,Yes,Donald Trump,,,,,No,Yes,,
2025-05-08 18:58:28,2025-05-08 18:58:53,IP Address,89.98.163.147,100,24,True,2025-05-08 18:58:53,R_2HOtNDEclysaQ5r,,,,,52.3672,4.918,anonymous,EN,Ada Shi,158A,No,,,,,,,,,,,,,
2025-05-08 18:58:54,2025-05-08 18:59:14,IP Address,89.98.163.147,100,20,True,2025-05-08 18:59:14,R_8QVC3N28WLLsUE4,,,,,52.3672,4.918,anonymous,EN,Ada Shi,159A,No,,,,,,,,,,,,,
2025-05-08 18:59:17,2025-05-08 18:59:29,IP Address,89.98.163.147,100,12,True,2025-05-08 18:59:29,R_2FG4lpNKVKrLmLA,,,,,52.3672,4.918,anonymous,EN,Ada Shi,160A,No,,,,,,,,,,,,,
2025-05-08 18:59:30,2025-05-08 19:03:35,IP Address,89.98.163.147,100,244,True,2025-05-08 19:03:35,R_8txmlTa2SbjLCnW,,,,,52.3672,4.918,anonymous,EN,Ada Shi,161A,No,,,,,,,,,,,,,
2025-05-08 19:03:36,2025-05-08 19:04:29,IP Address,89.98.163.147,100,52,True,2025-05-08 19:04:29,R_2WveCDTKl3QhdWh,,,,,52.3672,4.918,anonymous,EN,Ada Shi,162A,No,,,,,,,,,,,,,
2025-05-08 19:04:30,2025-05-08 19:05:02,IP Address,89.98.163.147,100,31,True,2025-05-08 19:05:02,R_8irOsbCibptZLXp,,,,,52.3672,4.918,anonymous,EN,Ada Shi,163A,No,,,,,,,,,,,,,
2025-05-08 19:05:03,2025-05-08 19:05:20,IP Address,89.98.163.147,100,16,True,2025-05-08 19:05:21,R_8WBcXMrQAkyfJjV,,,,,52.3672,4.918,anonymous,EN,Ada Shi,164A,No,,,,,,,,,,,,,
2025-05-08 19:05:22,2025-05-08 19:05:36,IP Address,89.98.163.147,100,13,True,2025-05-08 19:05:36,R_80LjB87nu1FpkaJ,,,,,52.3672,4.918,anonymous,EN,Ada Shi,165A,No,,,,,,,,,,,,,
2025-05-08 19:05:37,2025-05-08 19:05:48,IP Address,89.98.163.147,100,11,True,2025-05-08 19:05:49,R_8E4NqeURBgvT7ke,,,,,52.3672,4.918,anonymous,EN,Ada Shi,166A,No,,,,,,,,,,,,,
2025-05-08 19:05:49,2025-05-08 19:07:18,IP Address,89.98.163.147,100,88,True,2025-05-08 19:07:18,R_8cZY9AC0ZKpCYsf,,,,,52.3672,4.918,anonymous,EN,Ada Shi,167A,No,,,,,,,,,,,,,
2025-05-08 19:07:19,2025-05-08 19:07:43,IP Address,89.98.163.147,100,24,True,2025-05-08 19:07:44,R_2P7egEHaVL1kPNs,,,,,52.3672,4.918,anonymous,EN,Ada Shi,168A,No,,,,,,,,,,,,,
2025-05-08 19:07:45,2025-05-08 19:08:07,IP Address,89.98.163.147,100,21,True,2025-05-08 19:08:07,R_8fQ1L6tEXWb42kH,,,,,52.3672,4.918,anonymous,EN,Ada Shi,169A,No,,,,,,,,,,,,,
2025-05-08 19:08:11,2025-05-08 19:08:36,IP Address,89.98.163.147,100,24,True,2025-05-08 19:08:36,R_8Xd1OFxXfTuBk0F,,,,,52.3672,4.918,anonymous,EN,Ada Shi,170A,No,,,,,,,,,,,,,
2025-05-08 19:12:00,2025-05-08 19:12:22,IP Address,89.98.163.147,100,22,True,2025-05-08 19:12:23,R_2NXlzkLjGEtInxU,,,,,52.3672,4.918,anonymous,EN,Ada Shi,171A,No,,,,,,,,,,,,,
2025-05-08 19:12:24,2025-05-08 19:13:14,IP Address,89.98.163.147,100,50,True,2025-05-08 19:13:14,R_2paJEf5GYfK2pCU,,,,,52.3672,4.918,anonymous,EN,Ada Shi,172A,Yes,First,Yes,Ambiguously,,,,,,,,,,
2025-05-08 19:13:16,2025-05-08 19:14:07,IP Address,89.98.163.147,100,50,True,2025-05-08 19:14:07,R_8dsbyFMQJ9m8Nm5,,,,,52.3672,4.918,anonymous,EN,Ada Shi,173A,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,Yes,,,
2025-05-08 19:14:08,2025-05-08 19:15:56,IP Address,89.98.163.147,100,107,True,2025-05-08 19:15:57,R_8gIK5MTmT1BXdTq,,,,,52.3672,4.918,anonymous,EN,Ada Shi,174A,No,,,,,,,,,,,,,
2025-05-08 19:15:58,2025-05-08 19:16:11,IP Address,89.98.163.147,100,13,True,2025-05-08 19:16:11,R_8zk1KuJs5cIBe49,,,,,52.3672,4.918,anonymous,EN,Ada Shi,175A,No,,,,,,,,,,,,,
2025-05-08 19:16:13,2025-05-08 19:16:31,IP Address,89.98.163.147,100,18,True,2025-05-08 19:16:32,R_8hcI2Y8SDfTBSpB,,,,,52.3672,4.918,anonymous,EN,Ada Shi,176A,No,,,,,,,,,,,,,
2025-05-08 19:16:33,2025-05-08 19:17:01,IP Address,89.98.163.147,100,28,True,2025-05-08 19:17:01,R_8n1JzxKq3UfXT6R,,,,,52.3672,4.918,anonymous,EN,Ada Shi,177A,No,,,,,,,,,,,,,
2025-05-08 19:17:02,2025-05-08 19:17:18,IP Address,89.98.163.147,100,16,True,2025-05-08 19:17:18,R_2vlea2z5yBPoRZZ,,,,,52.3672,4.918,anonymous,EN,Ada Shi,178A,No,,,,,,,,,,,,,
2025-05-08 19:17:21,2025-05-08 19:17:37,IP Address,89.98.163.147,100,16,True,2025-05-08 19:17:38,R_80YSmjqPcH5TBdv,,,,,52.3672,4.918,anonymous,EN,Ada Shi,179A,No,,,,,,,,,,,,,
2025-05-08 19:17:38,2025-05-08 19:17:54,IP Address,89.98.163.147,100,15,True,2025-05-08 19:17:54,R_8q2qwIcQjXd1i5G,,,,,52.3672,4.918,anonymous,EN,Ada Shi,180A,No,,,,,,,,,,,,,
2025-05-08 19:35:51,2025-05-08 19:51:19,IP Address,89.98.163.147,100,927,True,2025-05-08 19:51:20,R_2pxWn6q7gzR1wnn,,,,,52.3672,4.918,anonymous,EN,Ada Shi,181A,No,,,,,,,,,,,,,
2025-05-08 19:51:21,2025-05-08 19:51:31,IP Address,89.98.163.147,100,10,True,2025-05-08 19:51:32,R_8lnp7XGYtPeK1cN,,,,,52.3672,4.918,anonymous,EN,Ada Shi,182A,No,,,,,,,,,,,,,
2025-05-08 19:51:32,2025-05-08 19:52:03,IP Address,89.98.163.147,100,30,True,2025-05-08 19:52:03,R_8jdVdlCvSDNV2tr,,,,,52.3672,4.918,anonymous,EN,Ada Shi,183A,No,,,,,,,,,,,,,
2025-05-08 19:52:04,2025-05-08 19:52:16,IP Address,89.98.163.147,100,12,True,2025-05-08 19:52:17,R_2lBZuXWPH74xvah,,,,,52.3672,4.918,anonymous,EN,Ada Shi,184A,No,,,,,,,,,,,,,
2025-05-08 19:52:17,2025-05-08 19:52:30,IP Address,89.98.163.147,100,13,True,2025-05-08 19:52:31,R_8GkDDD9zqYHvjoZ,,,,,52.3672,4.918,anonymous,EN,Ada Shi,185A,No,,,,,,,,,,,,,
2025-05-08 19:52:31,2025-05-08 19:52:45,IP Address,89.98.163.147,100,13,True,2025-05-08 19:52:46,R_2haaexc7uujKbQ4,,,,,52.3672,4.918,anonymous,EN,Ada Shi,186A,No,,,,,,,,,,,,,
2025-05-08 19:52:47,2025-05-08 19:53:09,IP Address,89.98.163.147,100,22,True,2025-05-08 19:53:09,R_8lrId13GAZg2OLk,,,,,52.3672,4.918,anonymous,EN,Ada Shi,187A,No,,,,,,,,,,,,,
2025-05-08 19:53:10,2025-05-08 19:53:30,IP Address,89.98.163.147,100,19,True,2025-05-08 19:53:30,R_86o7YbzM9Ql1TXm,,,,,52.3672,4.918,anonymous,EN,Ada Shi,188A,No,,,,,,,,,,,,,
2025-05-08 19:53:31,2025-05-08 19:53:48,IP Address,89.98.163.147,100,16,True,2025-05-08 19:53:48,R_8uAdAhQ18zj8v4d,,,,,52.3672,4.918,anonymous,EN,Ada Shi,189A,No,,,,,,,,,,,,,
2025-05-08 19:53:49,2025-05-08 19:54:20,IP Address,89.98.163.147,100,30,True,2025-05-08 19:54:20,R_2mejIjAm0CuvVGk,,,,,52.3672,4.918,anonymous,EN,Ada Shi,190A,Yes,First,No,,,,,,,,,,,
2025-05-08 19:54:22,2025-05-08 19:54:37,IP Address,89.98.163.147,100,15,True,2025-05-08 19:54:38,R_8PAo91QgFeu9s7H,,,,,52.3672,4.918,anonymous,EN,Ada Shi,191A,No,,,,,,,,,,,,,
2025-05-08 19:54:39,2025-05-08 19:55:00,IP Address,89.98.163.147,100,20,True,2025-05-08 19:55:00,R_8IgBehKjO0AxTDb,,,,,52.3672,4.918,anonymous,EN,Ada Shi,192A,No,,,,,,,,,,,,,
2025-05-08 19:55:01,2025-05-08 19:55:23,IP Address,89.98.163.147,100,21,True,2025-05-08 19:55:23,R_89bPEnm6xmogVd7,,,,,52.3672,4.918,anonymous,EN,Ada Shi,193A,No,,,,,,,,,,,,,
2025-05-08 19:55:24,2025-05-08 19:55:40,IP Address,89.98.163.147,100,15,True,2025-05-08 19:55:40,R_8h3VkRxYnexuTm4,,,,,52.3672,4.918,anonymous,EN,Ada Shi,194A,No,,,,,,,,,,,,,
2025-05-08 19:55:41,2025-05-08 19:55:57,IP Address,89.98.163.147,100,15,True,2025-05-08 19:55:57,R_8hR2jVjLBt3H1aT,,,,,52.3672,4.918,anonymous,EN,Ada Shi,195A,No,,,,,,,,,,,,,
2025-05-08 19:55:58,2025-05-08 19:56:24,IP Address,89.98.163.147,100,25,True,2025-05-08 19:56:24,R_8I0swJRslF5uEnL,,,,,52.3672,4.918,anonymous,EN,Ada Shi,196A,No,,,,,,,,,,,,,
2025-05-08 19:56:28,2025-05-08 19:56:44,IP Address,89.98.163.147,100,16,True,2025-05-08 19:56:45,R_2Pzm3oHML92EcKC,,,,,52.3672,4.918,anonymous,EN,Ada Shi,197A,No,,,,,,,,,,,,,
2025-05-08 19:56:45,2025-05-08 19:57:00,IP Address,89.98.163.147,100,15,True,2025-05-08 19:57:01,R_2s75H1ggyaQ00JM,,,,,52.3672,4.918,anonymous,EN,Ada Shi,198A,No,,,,,,,,,,,,,
2025-05-08 19:57:02,2025-05-08 19:57:23,IP Address,89.98.163.147,100,21,True,2025-05-08 19:57:24,R_8g1SNuDYcoowyzt,,,,,52.3672,4.918,anonymous,EN,Ada Shi,199A,No,,,,,,,,,,,,,
2025-05-08 19:57:26,2025-05-08 19:57:39,IP Address,89.98.163.147,100,13,True,2025-05-08 19:57:40,R_2fwagOWHradDBZg,,,,,52.3672,4.918,anonymous,EN,Ada Shi,200A,No,,,,,,,,,,,,,
2025-05-09 17:13:00,2025-05-09 17:18:07,IP Address,146.50.213.41,100,307,True,2025-05-09 17:18:08,R_2MKaxyVZSsgHoLV,,,,,52.364,4.866,anonymous,EN,Francesco Speciale,51F,Yes,First,No,,,,,,,,,,,
2025-05-09 17:18:09,2025-05-09 17:19:19,IP Address,146.50.213.41,100,69,True,2025-05-09 17:19:19,R_2AFofelxc7X6CMV,,,,,52.364,4.866,anonymous,EN,Francesco Speciale,52F,No,,,,,,,,,,,,,
2025-05-09 17:19:20,2025-05-09 17:19:46,IP Address,146.50.213.41,100,25,True,2025-05-09 17:19:46,R_8luGl6SvOGwbEVY,,,,,52.364,4.866,anonymous,EN,Francesco Speciale,53F,No,,,,,,,,,,,,,
2025-05-09 17:19:47,2025-05-09 17:20:04,IP Address,146.50.213.41,100,16,True,2025-05-09 17:20:04,R_2PHupmJxRKf5pFG,,,,,52.364,4.866,anonymous,EN,Francesco Speciale,54F,No,,,,,,,,,,,,,
2025-05-09 17:20:05,2025-05-09 17:23:35,IP Address,146.50.213.41,100,209,True,2025-05-09 17:23:35,R_8EWNzihnqO1UEkv,,,,,52.364,4.866,anonymous,EN,Francesco Speciale,55F,Yes,First,Yes,Positively,No,,Yes,USA,,,No,No,Yes,
2025-05-09 17:23:37,2025-05-09 17:25:37,IP Address,146.50.213.41,100,120,True,2025-05-09 17:25:37,R_81M03TOIZWJi2xn,,,,,52.364,4.866,anonymous,EN,Francesco Speciale,56F,No,,,,,,,,,,,,,
2025-05-09 17:25:39,2025-05-09 17:28:46,IP Address,146.50.213.41,100,187,True,2025-05-09 17:28:47,R_2URUkXekEOcKgdr,,,,,52.364,4.866,anonymous,EN,Francesco Speciale,56F,No,,,,,,,,,,,,,
2025-05-09 17:28:48,2025-05-09 17:29:41,IP Address,146.50.213.41,100,52,True,2025-05-09 17:29:41,R_8vGXeYJ7QjppbmF,,,,,52.364,4.866,anonymous,EN,Francesco Speciale,57F,No,,,,,,,,,,,,,
2025-05-09 17:29:42,2025-05-09 17:30:47,IP Address,146.50.213.41,100,65,True,2025-05-09 17:30:47,R_2igjMGFxRvqvJdL,,,,,52.364,4.866,anonymous,EN,Francesco Speciale,58F,No,,,,,,,,,,,,,
2025-05-09 17:30:54,2025-05-09 17:31:25,IP Address,146.50.213.41,100,31,True,2025-05-09 17:31:25,R_8EnHVOu2F47F9GR,,,,,52.364,4.866,anonymous,EN,Francesco Speciale,59F,No,,,,,,,,,,,,,
